"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"54T5M6ZK","journalArticle","1994","Bailliet, Graciela; Rothhammer, Francisco; Carnese, Francisco R.; Bravi, Claudio M.; Bianchi, Néstor O.","Founder mitochondrial haplotypes in Amerindian populations.","American Journal of Human Genetics","","","","http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1918234&tool=pmcentrez&rendertype=abstract","It had been proposed that the colonization of the New World took place by three successive migrations from northeastern Asia. The first one gave rise to Amerindians (Paleo-Indians), the second and third ones to Nadene and Aleut-Eskimo, respectively. Variation in mtDNA has been used to infer the demographic structure of the Amerindian ancestors. The study of RFLP all along the mtDNA and the analysis of nucleotide substitutions in the D-loop region of the mitochondrial genome apparently indicate that most or all full-blooded Amerindians cluster in one of four different mitochondrial haplotypes that are considered to represent the founder maternal lineages of Paleo-Indians. We have studied the mtDNA diversity in 109 Amerindians belonging to 3 different tribes, and we have reanalyzed the published data on 482 individuals from 18 other tribes. Our study confirms the existence of four major Amerindian haplotypes. However, we also found evidence supporting the existence of several other potential founder haplotypes or haplotype subsets in addition to the four ancestral lineages reported. Confirmation of a relatively high number of founder haplotypes would indicate that early migration into America was not accompanied by a severe genetic bottleneck.","1994-07","2018-02-14 07:33:45","2021-04-13 02:52:34","","27-33","","","54","","","","","","","","","","","","","","","","","Sur,Norte Grande;Genética","","","","Amerindian; founder mitochondrial haplotypes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGMQM5C8","conferencePaper","1995","Jensen, Kenneth; Cáceres, Iván","El Peritaje antropológico forense en relación con la problemática de los detenidos desaparecidos y los ejecutados políticos. Experiencia del Grupo Chileno de Antropología Forense GAF","Actas del Segundo Congreso Chileno de Antropología","","","","https://www.aacademica.org/ii.congreso.chileno.de.antropologia/22.pdf","","1995","2018-02-14 07:33:56","2021-03-29 20:27:02","","","","","1","","","","","","","","Colegio de Antropólogos de Chile A. G.","Valdivia","","","","","","","","Sin región;Forense","","","","detenidos desaparecidos; ejecutados políticos; Grupo Chileno de Antropología Forense; GAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5V3LF2NQ","journalArticle","2012","Garrido-Varas, Claudia; Intriago Leiva, Marisol","The ""Unidad Especial de Identificación Forense and Human Rights"" in Chile","Cadernos do GEEvH","","","","https://www.academia.edu/2644626/The_Unidad_Especial_de_Identificación_Forense_and_Human_Rights_in_Chile","","2012","2018-02-14 07:34:08","2021-05-12 02:45:59","","32-41","","2","1","","","","","","","","","","","","","","","","","Sin región;Forense","","","","Unidad Especial de Identificación Forense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6STWYYA","journalArticle","2010","Moraga, Mauricio; de Saint Pierre, Michelle; Torres, Francisco; Ríos, Juan","Vínculos de parentesco por vía materna entre los últimos descendientes de la etnia Kawésqar y algunos entierros en los canales patagónicos: evidencia desde el estudio de linajes mitocondriales","MAGALLANIA","","","10.4067/s0718-22442010000200006","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0718-22442010000200006&lng=es&nrm=iso&tlng=es","","2010","2018-02-14 07:34:30","2021-03-30 18:21:38","","103-114","","2","38","","","","","","","","","","","","","","","","","Extremo Sur;Genética","","","https://scielo.conicyt.cl/pdf/magallania/v38n2/art06.pdf","cazadores recolectores marinos; haplogrupos amerindios; ADN mitocondrial; ADN antiguo; Kawésqar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXQ45RQB","conferencePaper","2013","Reyes, Omar; Moraga, Mauricio; Aspillaga, Eugenio","El registro bioantropológico y las evidencias de ocupación en el Archipiélago de los Chonos (región de Aisén, Chile). Avances en la arqueología de los canales septentrionales del extremo sur","Tendencias teórico-metodológicas y casos de estudio en la arqueología de la Patagonia","","","","https://www.researchgate.net/publication/267450928_El_registro_bioantropologico_y_las_evidencias_de_ocupacion_en_el_Archipielago_de_Los_Chonos","","2013","2018-02-14 07:34:32","2021-04-13 03:31:18","","227-232","","","","","","","","","","","Museo de Historia Natural de San Rafael, Sociedad Argentina de Antropología e Instituto Nacional de Antropología y Pensamiento Latinoamericano","San Rafael, Argentina","","","","","","","","Sur,Extremo Sur;Bioarqueología","","","","prácticas mortuorias; cronología; conchales; Archipiélago de los Chonos","","Zangrando, Atilio; Barberena, Ramiro; Gil, Adolfo; Neme, Gustavo; Giardina, Miguel; Luna, Leandro; Otaola, Clara; Paulides, Salvador; Salgán, Laura; Tívoli, Ángela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VIII Jornadas de Arqueología de la Patagonia","","","","","","","","","","","","","","",""
"EJXP73ZN","journalArticle","2000","Moraga, Mauricio; Rocco, Paola; Miquel, Juan F.; Nervi, Flavio; Llop, Elena; Chakraborty, Ranajit; Rothhammer, Francisco; Carvallo, Pilar","Mitochondrial DNA Polymorphisms in Chilean Aboriginal Populations: Implications for the Peopling of the Southern Cone of the Continent","American Journal of Physical Anthropology","","","","http://repositorio.uchile.cl/handle/2250/129329","","2000","2018-02-14 07:34:45","2021-04-12 02:31:53","","19-29","","","113","","","","","","","","","","","","","","","","","Sin región;Genética","","","","haplogurpos ADNmt amerindios; poblamiento del cono sur; análisis de secuencias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQT99QK6","journalArticle","2004","Federico García; Moraga, Mauricio; Vera, Soledad; Henríquez, Hugo; Llop, Elena; Ocampo, Carlos; Aspillaga, Eugenio; Rothhammer, Francisco","Origen y microdiferenciación de la población humana del Archipiélago de Chiloé","Revista Chilena de Historia Natural","","","","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0716-078X2004000300012","","2004","2018-02-14 07:34:59","2021-04-13 03:03:28","","539-546","","77","","","","","","","","","","","","","","","","","","Sur;Genética","","","","diversidad étnica; diversidad genética humana; ADN mitocondrial; Chiloé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKW64KZ5","thesis","2011","Abarca-Labra, Violeta","Efectos de la nutrición sobre el Dimorfismo Sexual expresado en la Estatura (SSD) de una muestra de población Chilena Subactual","","","","","http://repositorio.uchile.cl/handle/2250/106343","","2011","2018-02-14 07:35:23","2021-05-16 15:25:03","","","","","","","","","","","","","Memoria para optar al Título de Antropóloga Física, Universidad de Chile","Santiago, Chile","","","","","","","","Sin región;Forense,Osteología","","","","estimación de estatura; Colección Osteológica Subactual de Santiago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEAHN64H","report","2010","Henríquez, Mario","Patología vertebral en poblaciones Arcaicas y Alfareras Tempranas de Chile central y centro sur","","","","","https://www.investigacion.patrimoniocultural.gob.cl/694/articles-78914_archivo_01.pdf","","2010","2018-02-14 07:35:51","2021-04-13 03:11:46","","7-25","","","","","","","","","","","","","","","","","","","","Centro,Sur;Bioarqueología","","","","Arcaico; Alfarero Temprano; patología vertebral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPG4KJKD","journalArticle","2010","Andrade, Pedro; Silva, Francisco","Modo de vida de los grupos arcaicos cordilleranos de Chile central: una aproximación bioarqueológica","Revista Werkén","","","","https://www.academia.edu/44599440/Modos_de_Vida_de_los_grupos_arcaicos_de_Chile_Central_una_aproximación_bioantropológica","","2010","2018-02-14 07:35:51","2021-04-13 02:51:06","","9-24","","","13","","","","","","","","","","","","","","","","","Centro;Bioarqueología","","","","modos de vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHLFWHMY","journalArticle","2009","Morano, Susana; Bucarey, Sandra","Estudio de las Piezas Dentales del Individuo N° 1 del Alero ""Ernesto Marifilo-1"", Región de los Rios, Chile","Magallania","","","http://dx.doi.org/10.4067/S0718-22442009000100004","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0718-22442009000100004&lng=pt&nrm=iso&tlng=es","","2009","2018-02-14 07:35:52","2021-04-17 02:45:46","","37-45","","1","37","","","","","","","","","","","","","","","","","Sur;Bioarqueología,Dental","","","","Marifilo-1; dieta; patologías dentales; antropología dental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRK4UVFG","journalArticle","1998","Cocilovo, José A.; Quevedo, Silvia G.","Relaciones y afinidades biológicas entre las poblaciones del norte semiárido y la zona central chilena","Primer Seminario de Arqueología Zona Centro-Sur de Chile, Instituto de Fundamentos Culturales, Serie Antropología, Universidad de San Sebastián","","","","","","1998","2018-02-14 07:35:52","2021-08-10 18:03:48","","95-118","","","1","","","","","","","","","","","","","","","","","Norte Chico,Centro;Bioarqueología","","","","afinidades biológicas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5QAAFEM","conferencePaper","1995","Constantinescu, Florence; Hagn, Juan Carlos","Bioarqueología y reconstrucción del modo de vida en un cementerio de la cultura Aconcagua","Actas II Congreso Chileno de Antropología","","","","https://www.aacademica.org/ii.congreso.chileno.de.antropologia/17.pdf","","1995","2018-02-14 07:35:53","2021-03-29 04:13:51","","98-110","","","Tomo l","","","","","","","","Colegio de Antropólogos de Chile","Santiago","","","","","","","","Centro;Bioarqueología","","","","cementerio; modos de vida; Aconcagua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDSC2EJU","conferencePaper","1995","Constantinescu, Florence; Hagn, Juan Carlos","Aspectos bioarqueológicos del cementerio RML 004 ""El valle de Chicauma"". Período agroalfarero tardío. Zona central de Chile.","Actas del XIII Congreso Nacional de Arqueología Chilena","","","","","","1995","2018-02-14 07:35:53","2021-03-29 04:13:36","","299-304","","","","","","","","","","","Universidad de Antofagasta, Sociedad Chilena de Arqueología","Antofagasta","","","","","","","","Centro;Bioarqueología","","","","cementerio; agroalfarero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J74THAL8","journalArticle","1994","Constantinescu, Florence; Aspillaga, Eugenio; Quiroz, Daniel; Hagn, Juan Carlos; Paredes, Claudio","Isla Mocha: estudio bioantropológico de restos esqueletales","Boletín Museo Regional De La Araucanía","","","","http://www.museoregionalaraucania.gob.cl/642/articles-52982_archivo_01.pdf","","1994","2018-02-14 07:35:54","2021-04-13 04:23:43","","111-118","","","5","","","","","","","","","","","","","","","","","Sur;Bioarqueología","","","","restos esqueletales; Isla Mocha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5UJFPR7","journalArticle","1993","Constantinescu, Florence","P10-1, una sepultura colectiva en Isla Mocha","Museos","","","","http://www.memoriachilena.gob.cl/archivos2/pdfs/MC0072505.pdf","","1993","2018-02-14 07:35:54","2021-04-11 20:49:57","","10-11","","","17","","","","","","","","","","","","","","","","","Sur;Bioarqueología","","","","Isla Mocha; sepultura colectiva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDPQ4EPD","conferencePaper","1993","Quevedo, Silvia G.; Pérez, Alejandro","Análisis de oligoelementos en muestras arqueológicas humanas de la zona central y norte semiárido de Chile","Actas Del XII Congreso Nacional De Arqueología Chilena Tomo I","","","","","","1993","2018-02-14 07:35:55","2021-04-06 01:45:05","","131-138","","","","","","","","","","","","","","","","","","","","Norte Chico,Centro;Bioarqueología","","","","oligoelementos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5J5EYAMM","journalArticle","1986","Kaltwasser, Jorge; Medina, Alberto; Aspillaga, Eugenio; Paredes, Claudio","El hombre de Cuchipuy. Prehistoria de Chile Central en el Período Arcaico","Revista Chungará","","","","http://www.chungara.cl/Vols/1986/Vol16-17/El_hombre_de_Cuchipuy.pdf","","1986","2018-02-14 07:35:56","2021-04-11 19:29:15","","87-94","","","1","","","","","","","","","","","","","","","","","Centro;Bioarqueología","","","","Cuchipuy; Chile Central; Arcaico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Y3SMARI","conferencePaper","1979","Quevedo, Silvia G.","Estudio de los restos óseos de una población agroalfarera prehistórica: María Pinto","Actas del VII Congreso Nacional de Arqueología Chilena","","","","https://scha.cl/wp-content/uploads/2019/02/ACTAS_VII_CNACh_Vol_I_.pdf","","1979","2018-02-14 07:35:57","2021-04-06 01:45:08","","277-290","","","Volumen I","","","","","","","","Kultrun","Altos de Vilches","","","","","","","","Centro;Bioarqueología","","","","María Pinto; agroalfarero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BH8FKT8","conferencePaper","2012","Herrera-Soto, María José","Caracterización de los modos de vida y análisis de salud y dieta a través de piezas óseas y dentales en esqueletos de la colección Caserones-Tarapacá 40 (Período Formativo, región de Tarapacá)","Actas del XVIII Congreso Nacional de Arqueología Chilena","","","","https://scha.cl/wp-content/uploads/2019/02/Actas_XVIII_CNACh_2012.pdf","","2012","2018-02-14 07:36:41","2021-04-12 20:45:12","","53-62","","","I","","","","","","","","Sociedad Chilena de Arqueología","Valparaíso","","","","","","","","Norte Grande;Bioarqueología","","","","bioarqueología; dieta; modos de vida; Norte Grande de Chile; periodo formativo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4GQ4K72","journalArticle","2012","Santana-Sagredo, Francisca; Herrera-Soto, María José; Uribe, Mauricio","Acercamiento a la paleodieta en la costa y quebradas tarapaqueñas durante el Período Formativo: análisis de isótopos estables a partir de tres casos de estudio","Boletín de la Sociedad Chilena de Arqueología","","","","https://boletin.scha.cl/boletin/index.php/boletin/article/view/21","","2012","2018-02-14 07:36:42","2021-05-16 03:40:10","","109-126","","41-42","","","","","","","","","","","","","","","","","","Norte Grande;Bioarqueología,Isótopos","","","","isótopos estables; Tarapacá; paleodieta; período formativo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
